t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,flags
815521385.995,815521395.995,815521390.921,815521386.0,815521395.975,106.312719597,3.70364528947,2.1900420237e-14,7.6295092963e-16,15.0135369299,0.0371801576325,0.0384986460143,107.614140161,3.68239458503,2.21685128731e-14,7.58573284516e-16,15.00032665,0.0365307565751,0.0378027962863,110.023509677,3.64272515163,2.26648429934e-14,7.50401381237e-16,14.9762862637,0.0353649494353,0.0365557643924,818.0,912.259049682,66.0,59.8906330092,8.29149199441,30.7679862385,19.9772680531,0.896840283732,585.548461914,471.706756592,198.922323181,5.98029345781,42.1516599391,0.0
815521395.995,815521405.995,815521400.981,815521396.01,815521405.99,109.129273513,3.74522308893,2.24806303436e-14,7.71515956319e-16,14.9851468398,0.0366364059924,0.0379159436101,110.305991131,3.7262281653,2.27230341731e-14,7.67603002051e-16,14.9735022469,0.0360711885256,0.0373108780181,112.715360647,3.687030108,2.32193642934e-14,7.59528202248e-16,14.9500422376,0.034946988256,0.036109357021,844.0,934.572164664,64.0,57.8775855275,8.29143569515,29.7338108741,19.9771324074,0.903296629438,583.747619629,471.231719971,197.071422711,5.98004399582,42.1515405575,0.0
815521405.995,815521415.995,815521410.952,815521406.0,815521415.99,109.871608769,3.74300981892,2.26335514065e-14,7.71060022697e-16,14.977786291,0.0363718281025,0.0376326316492,110.647651131,3.73049460215,2.27934161329e-14,7.68481888043e-16,14.9701445025,0.0360021315188,0.0372369971501,113.057020647,3.69136839761,2.32897462532e-14,7.60421889907e-16,14.9467561589,0.0348834004899,0.0360414726479,848.0,938.037700219,57.0,51.4455935906,8.29703184157,26.4294637757,19.990615592,0.904213940537,581.708496094,471.377624512,195.224851988,5.98013975067,42.1515667996,0.0
815521415.995,815521425.995,815521420.976,815521416.005,815521425.99,108.248455706,3.73316619854,2.22991818755e-14,7.69032236899e-16,14.9939457267,0.0368126101077,0.038104703615,109.529283595,3.71243236536,2.25630324207e-14,7.64761067265e-16,14.9811743823,0.0361904864464,0.0374385322132,111.938653111,3.67311274667,2.30593625409e-14,7.56661225814e-16,14.9575498075,0.0350548941519,0.0362245728999,833.0,928.734621327,66.0,59.5965319977,8.29681790438,30.6168959023,19.9901001382,0.897046293108,580.018005371,472.605560303,194.108345119,5.98002834505,42.1515990979,0.0
815521425.995,815521435.995,815521431.16,815521425.995,815521435.99,112.13490619,3.7681965202,2.30997906752e-14,7.7624848316e-16,14.9556479398,0.0358855951411,0.0371123423726,112.577396709,3.76111497351,2.31909437221e-14,7.74789684544e-16,14.951371996,0.0356807548894,0.0368932992111,114.986766225,3.72231942714,2.36872738424e-14,7.6679780199e-16,14.9283803488,0.0345902485098,0.0357286187431,853.0,954.263786568,51.0,46.0689825129,8.298900977,23.66730403,19.9951190299,0.894009287185,579.253601074,474.427429199,194.09094702,5.98007002139,42.1516322696,0.0
815521435.995,815521445.995,815521440.932,815521436.035,815521445.97,108.584493479,3.73111474144,2.23684056566e-14,7.68609636738e-16,14.9905804755,0.0366807586765,0.0379634507866,109.743896807,3.71237692552,2.26072427422e-14,7.64749646656e-16,14.9790490571,0.0361203467415,0.0373634760254,112.153266323,3.67313194488,2.31035728625e-14,7.56665180646e-16,14.955470184,0.0349890634223,0.0361542797135,846.0,932.289503054,64.0,57.7454279593,8.31263799637,29.6659167471,20.0282165856,0.90763521731,579.56451416,476.131530762,195.036982959,5.9801202316,42.1515623336,0.0
815521445.995,815521455.995,815521451.2,815521446.015,815521455.975,113.786129613,3.81602860713,2.34399427002e-14,7.86101893068e-16,14.9397766867,0.0358149165015,0.037036753459,114.979627293,3.7971607742,2.36858032223e-14,7.82215119485e-16,14.9284477586,0.0352767011755,0.0364614804076,117.388996809,3.75878282357,2.41821333426e-14,7.74309261656e-16,14.905931522,0.0342201692227,0.0353339167048,894.0,975.349611274,64.0,58.2694620641,8.30869704819,29.935132037,20.0187213852,0.916707793169,580.935546875,477.671356201,196.90228972,5.98027027658,42.1516391779,0.0
815521455.995,815521465.995,815521460.892,815521456.0,815521465.98,114.053553984,3.79360456804,2.34950321208e-14,7.81482541016e-16,14.9372279432,0.0355257321418,0.036727584561,114.443459236,3.78741849493,2.35753526027e-14,7.80208209955e-16,14.9335225586,0.035349842923,0.0365396235482,116.852828752,3.74896603369,2.4071682723e-14,7.7228700294e-16,14.9109019246,0.0342863520216,0.0354044824794,887.0,971.528284811,50.0,45.3024384648,8.3141186669,23.2735026033,20.0317840681,0.913112000153,582.885620117,478.593933105,199.058173323,5.98021019508,42.1515994319,0.0
815521465.995,815521475.995,815521470.987,815521465.995,815521475.99,108.403191793,3.73263948074,2.23310575093e-14,7.68923733032e-16,14.9923948259,0.036755843083,0.0380438845779,109.761101324,3.71071601052,2.26107868727e-14,7.64407498168e-16,14.97887886,0.0360988861078,0.0373405131015,112.17047084,3.67149450965,2.31071169929e-14,7.56327868987e-16,14.9553036429,0.0349684355389,0.0361322553445,848.0,933.407571647,67.0,61.0211513173,8.32133060208,31.3487744185,20.0491602848,0.90863729019,584.920532227,478.370361328,200.842019442,5.98019360955,42.1516292807,0.0
815521475.995,815521485.995,815521480.836,815521476.02,815521485.98,115.533795932,3.86233507206,2.3799961962e-14,7.95641024844e-16,14.9232273935,0.0357030281415,0.0369171126694,117.443195906,3.83252419342,2.41932983567e-14,7.89499983844e-16,14.9054303477,0.0348650027737,0.0360218333365,119.852565422,3.79457324251,2.4689628477e-14,7.81682087957e-16,14.8833816638,0.0338418407071,0.0349307038194,916.0,997.628365735,77.0,69.9747426486,8.32379650965,35.9485584084,20.0551015674,0.918312488653,586.63848877,476.883514404,201.853908254,5.98028560336,42.151693409,0.0
