mct_2357-1725	0.021458	-17.147667
pg_2357+174	0.065625	17.648092
hs_2357+2201	0.076667	22.300831
mct_2357-3331	0.083542	-33.249694
pb_5670	0.095125	0.109931
pg_2358+107	0.278042	11.010081
sdssj_000111.65+000342.6	0.298542	0.061833
bps_cs22957-23	0.3845	-5.321319
mct_2359-3556	0.40675	-35.664744
mct_2359-2844	0.410208	-28.461889
pg_2359+197	0.535208	19.986889
sdssj_000307.06+241211.6	0.779417	24.203222
fb_1	0.841917	-23.649442
mct_0000-1637	0.851542	-16.351758
pg_0001+275	0.981708	27.809942
sdssj9-10_000426.61-003826.2	1.110875	0.640611
mct_0001-2443	1.129167	-24.439219
galex_j00046+4132	1.165292	41.542678
mct_0002-2648	1.289917	-26.530119
sdssj9-10_000552.02+064920.2	1.46675	6.822278
mct_0003-3509	1.486167	-34.885133
sdssj_000607.88-010320.8	1.532833	-1.055778
lbqs_0003+0053	1.594292	1.166369
sdssj_000645.56+250738.5	1.689833	25.127361
mct_0004-2737	1.692708	-27.348167
pg_0004+133	1.890667	13.599331
pb_5749	1.908083	0.667967
pg_0005+179	2.073958	18.132967
mct_0006-2320	2.175292	-23.068292
pb_5761	2.18	2.131469
pg_0006+120	2.188667	12.288567
sdssj_000847.25-051217.1	2.196875	-5.20475
mct_0007-2212	2.441292	-21.937331
fb_3	2.528833	-26.215817
pg_0007+026	2.536667	2.875864
jl_163	2.638375	-50.256781
mct_0008-1245	2.854292	-12.479417
lamost_j001227.76+035431.7	3.115667	3.908806
jl_166	3.179292	-45.854303
lbqs_0010+0231	3.349417	2.804231
mct_0011-3543	3.425792	-35.450392
pg_0011+221	3.580333	22.405039
pg_0011+283	3.592667	28.615781
mct_0013-2601	3.897292	-25.755322
mct_0013-3645	4.093542	-36.473478
fbs_0013+434	4.182792	43.762611
pg_0014+068	4.226167	7.075072
pb_5844	4.418833	-1.838592
lbqs_0015+0216	4.487833	2.558853
pg_0016+151	4.654792	15.364189
hs_0016+0044	4.681292	1.023456
sdssj_001844.33-093855.0	4.684708	-9.648611
mct_0016-3212	4.721542	-31.933831
mct_0016-3216	4.852083	-31.998028
pg_0016+285	4.870625	28.7465
sdssj_001930.36+135530.8	4.8765	13.925222
galex_j00198-4132	4.968375	-41.543158
mct_0018-3653	5.139667	-36.612367
ec_00179-6503	5.171208	-64.793992
mct_0018-1714	5.343542	-16.963417
he_0019-5545	5.365292	-55.48675
mct_0019-2441	5.4945	-24.422506
fbs_0019+402	5.596458	40.430639
pg_0020+240	5.764417	24.319089
sdssj_002323.99-002953.3	5.849958	0.498139
fbs_0021+418	5.980083	42.151361
mct_0021-2326	5.997167	-23.164969
pg_0022+087	6.365542	8.965406
pg_0023+298	6.473792	30.086989
mct_0023-2114	6.493042	-20.958483
pg_0023+299	6.496167	30.252933
hs_0023+3049	6.510542	31.105756
sdssj_002618.99+154445.9	6.579125	15.746083
sdssj9-10_j002624.64+074113.8	6.602667	7.687167
lbqs_0024-0042	6.689417	0.425331
bps_cs30339-49	6.719917	-35.567017
pg_0024+133	6.759792	13.556703
pb_8240	6.762042	-7.853489
hs_0024+3331	6.845625	33.804789
hs_0025+3423	6.949292	34.674206
lbqs_0025+0203	7.027958	2.338331
mct_0025-3842	7.056417	-38.425592
kpd_0025+5402	7.120958	54.320833
lbqs_0025-0210	7.122042	-1.895481
sdssj_002852.25+135446.5	7.217708	13.912917
pg_0026+047	7.287583	4.939953
lbqs_0026-0043	7.29775	0.454639
lb_1558	7.57075	-46.539306
sdssj_003036.48+152455.9	7.652	15.415528
pg_0027+222	7.657917	22.514453
hs_0028+4407	7.682292	44.409194
mct_0028-2729	7.803917	-27.21505
mct_0029-4054	7.901667	-40.632044
jl_194	7.923417	-47.422167
pb_6025	8.2935	1.325956
sdssj_003334.43+082934.8	8.393458	8.493
mct_0031-2724	8.474542	-27.140028
he_0031-5607	8.532292	-55.851639
mct_0032-1444	8.785792	-14.466017
pg_0032+247	8.883292	24.987908
mct_0033-1929	8.9075	-19.211075
pg_0033+266	8.943667	26.915194
kpd_0033+5229	8.968167	52.763706
kuv_00336-2223	9.019	-22.105253
kuv_00337-2137	9.039083	-21.348481
fbs_0033+376	9.166167	37.931969
sdssj_003641.60+242205.0	9.173333	24.368056
sdssj_003650.41+082619.4	9.210042	8.438722
sdssj_003658.85-104931.2	9.245208	-10.825333
sdssj_003749.42+251904.7	9.455917	25.317972
sdssj_003837.24+074400.8	9.655167	7.733556
hs_0035+3034	9.661417	30.845206
sdssj_003908.90+235726.1	9.787083	23.95725
kuv_00368-1923	9.829667	-19.105414
mct_0037-4041	10.027208	-40.415458
jl_202	10.055208	-55.031192
pg_0038+199	10.396792	20.154856
pg_0039+049	10.525417	5.1565
pg_0039+103	10.55625	10.653139
pg_0039+134	10.568917	13.761264
he_0040-4838	10.6295	-48.371167
sdssj_004233.42+004717.6	10.63925	0.788222
mct_0040-1615	10.672917	-15.993022
hs_0039+4302	10.676542	43.316931
kuv_00403-1941	10.6925	-19.402056
galex_j00428-4413	10.701375	-44.22335
cd-38_222	10.742917	-38.127028
hs_0040+4417	10.838292	44.573456
pg_0042+095	11.194375	9.730833
mct_0042-1245	11.238167	-12.481897
pg_0042+211	11.296208	21.352258
pb_6148	11.339292	7.103339
mct_0043-3840	11.504917	-38.402567
galex_j00468+1956	11.701417	19.937117
pg_0044+097	11.871708	9.982139
galex_j00476+3123	11.9185	31.398633
sdssj_004755.27+252027.1	11.980292	25.340861
galex_j004759.62+033742.88	11.998417	3.628578
