PB_5670	0.095125	0.109931	2872.0
SDSSJ_000111.65+000342.6	0.298542	0.061833	2872.0
SDSSJ_000307.06+241211.6	0.779417	24.203222	1640.0
SDSSJ910_000426.61-003826.2	1.110875	0.640611	4297.0
MCT_0003-3509	1.486167	-34.885133	1356.0
SDSSJ_000607.88-010320.8	1.532833	-1.055778	3363.0
LBQS_0003+0053	1.594292	1.166369	4089.0
SDSSJ_000645.56+250738.5	1.689833	25.127361	3223.0
MCT_0004-2737	1.692708	-27.348167	1478.0
PG_0004+133	1.890667	13.599331	1702.0
PB_5749	1.908083	0.667967	8718.0
MCT_0013-3645	4.093542	-36.473478	3237.0
PB_5844	4.418833	-1.838592	2683.0
PG_0016+151	4.654792	15.364189	1605.0
HS_0016+0044	4.681292	1.023456	3094.0
SDSSJ_001844.33-093855.0	4.684708	-9.648611	2662.0
MCT_0018-3653	5.139667	-36.612367	3237.0
MCT_0019-2441	5.4945	-24.422506	1584.0
SDSSJ_002323.99-002953.3	5.849958	0.498139	24304.0
FBS_0021+418	5.980083	42.151361	1605.0
LBQS_0024-0042	6.689417	0.425331	4935.0
BPS_CS30339-49	6.719917	-35.567017	1617.0
PG_0024+133	6.759792	13.556703	3350.0
MCT_0025-3842	7.056417	-38.425592	1626.0
LBQS_0025-0210	7.122042	-1.895481	1678.0
SDSSJ_002852.25+135446.5	7.217708	13.912917	3350.0
PG_0026+047	7.287583	4.939953	5127.0
LBQS_0026-0043	7.29775	0.454639	4862.0
SDSSJ_003036.48+152455.9	7.652	15.415528	3254.0
PB_6025	8.2935	1.325956	2783.0
SDSSJ_003334.43+082934.8	8.393458	8.493	2716.0
MCT_0031-2724	8.474542	-27.140028	1479.0
SDSSJ_003641.60+242205.0	9.173333	24.368056	3631.0
SDSSJ_003650.41+082619.4	9.210042	8.438722	1653.0
SDSSJ_003658.85-104931.2	9.245208	-10.825333	1630.0
SDSSJ_003837.24+074400.8	9.655167	7.733556	1626.0
SDSSJ_003908.90+235726.1	9.787083	23.95725	3631.0
PG_0038+199	10.396792	20.154856	18585.0
PG_0039+049	10.525417	5.1565	1919.0
